obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,area,area_err,area_samperr,spec_flag,feat_flag,notes
2004ef,2453262.61,pW3,4092.8837,4514.733,10654.130447130226,0.0,52.310989089220065,102.83686857332864,0.0,1.6117013053788047,7.467079093981336e-14,0.0,1.5711424187171142e-15,0,0,
2004ef,2453262.61,pW4,4514.733,5187.332,18642.237294409093,0.0,95.45351872721062,176.32444105002133,0.0,2.884634939584476,9.711733084894703e-14,0.0,2.0760913707944113e-15,0,0,
2004ef,2453262.61,pW5,5187.332,5641.6312,8436.76093612807,0.0,116.77844125888413,89.10420407224545,0.0,2.3039643439714896,3.717388060167231e-14,0.0,1.2251164779739476e-15,0,0,
2004ef,2453262.61,pW6,5647.5312,5883.5308,10727.169550881601,0.0,54.82326967115929,23.582612452010487,0.0,1.2378205924641663,8.682590973241033e-15,0.0,4.981931749960173e-16,0,0,
2004ef,2453262.61,pW7,5883.5308,6364.3801,11715.883920397393,0.0,22.32873567898089,130.8093018478125,0.0,2.1273903994482404,4.384620284512018e-14,0.0,9.623318996311123e-16,0,0,
2004ef,2453262.61,pW8,7812.8278,8500.1767,14159.202780275918,0.0,424.9477555367483,189.28036100287412,0.0,17.18930136795099,2.0988065811943198e-14,0.0,2.6102727336206014e-15,0,0,
2004ef,2453267.57,pW4,4518.1172,5200.2452,16600.605158025242,0.0,71.89752194062432,185.30360818781986,0.0,2.4691180993054616,7.787076865366495e-14,0.0,1.467758459579039e-15,0,0,
2004ef,2453267.57,pW5,5200.2452,5617.2546,6448.983627943855,0.0,114.94153781116242,95.7072570352895,0.0,2.226424919208218,3.2211298396940945e-14,0.0,9.651314595945838e-16,0,0,
2004ef,2453267.57,pW6,5669.7259,5945.8911,9516.648448514004,0.0,737.1309475457588,32.169737172417626,0.0,5.3044680988751605,9.798271484428307e-15,0.0,1.798335831861751e-15,0,0,
2004ef,2453267.57,pW7,5945.8911,6332.5223,11020.1433326397,0.0,98.2475460792911,126.28630669708164,0.0,7.238315038008005,3.4141505937306214e-14,0.0,3.023082426194023e-15,0,0,
2004ef,2453267.57,pW8,7771.3427,8729.6358,9226.059983229054,0.0,1790.75323140573,291.4820409984272,0.0,72.4840725630973,2.3548228441512668e-14,0.0,7.4075654719137e-15,0,0,
2004ef,2453268.63,pW2,3915.884,4089.9337,9314.050969403905,0.0,71.39998609855837,25.45138210964071,0.0,1.4569621533225452,2.900810042858476e-14,0.0,1.944197397259925e-15,0,0,
2004ef,2453268.63,pW3,4089.9337,4538.333,8444.593835195852,0.0,48.46740822619448,99.62447521872521,0.0,2.226996119419071,1.0715714762595565e-13,0.0,3.0569167727528147e-15,0,1,
2004ef,2453268.63,pW4,4538.333,5199.1319,,0.0,,202.36825206307202,0.0,2.1475870027825468,1.8925792377838528e-13,0.0,3.000736824515381e-15,0,0,
2004ef,2453268.63,pW5,5199.1319,5629.8312,6906.556476036106,0.0,112.71399624820887,82.41723909097811,0.0,1.9791509156909777,6.061693295255287e-14,0.0,1.8018917355540346e-15,0,0,
2004ef,2453268.63,pW6,5629.8312,5862.8809,10576.147988496801,0.0,63.22731246791678,23.269201602228872,0.0,1.4908830490579894,1.511536919380559e-14,0.0,1.0778635180065839e-15,0,0,
