,CID,pW 1 vel,pW 1 vel err,pW 2 vel,pW 2 vel err,pW 3 vel,pW 3 vel err,pW 4 vel,pW 4 vel err,pW 5 vel,pW 5 vel err,pW 6 vel,pW 6 vel err,pW 7 vel,pW 7 vel err,pW 8 vel,pW 8 vel err
30,5751,16433.335185178275,187.5162508932037,,,11651.980783446015,200.19100484885777,16306.554719347261,400.0204298672561,,,,,11238.041053669396,18.732939936268888,,
31,5844,11578.509328660351,100.06362981264499,10162.995380069728,310.374677497136,10847.454619821146,301.9583283991028,18630.871142521766,492.97681044443976,7546.779361613141,699.4573505949014,,,10071.656831372724,52.93235773311756,,
32,5944,,,,,11450.630464652902,206.3447079961544,16616.410467567264,174.49853913751255,8616.5172214218,173.1525362055791,10610.859686215548,55.54075416102096,10509.87967750722,16.529397354247557,,
33,5957,12472.595000646135,167.69637132193438,8508.705623694399,415.0098907786586,8135.729466798319,349.4830926852468,17090.365882740567,380.8607106999288,7951.29422113989,795.6806634535063,7760.694715547671,1960.253220186556,9226.016703578176,157.4430411179317,,
34,5994,12257.110307701592,208.21419796145813,8622.71528282402,113.47315982889215,9934.359619791434,360.4462277121327,17876.37261169593,503.71165299772247,8314.054979139644,661.640809150413,10903.700973532528,2093.321641888331,9320.886284508184,146.8905845973234,,
35,6057,,,9275.664804821752,344.2831828612146,7980.9595589566015,184.7274369056199,17146.372913364674,288.1434330715667,5334.584315373464,1307.6058014271305,11052.266718812774,381.3532349343271,10332.40357691557,33.32155288321004,,
36,6192,13270.885789918113,327.26096521209837,11001.850358935328,801.9931516718585,7870.954632241603,321.16052776302445,16130.549379184722,182.4227976312492,6391.882635220785,363.1127394038311,,,8869.367803612171,360.4644486938657,,
37,6196,15192.249969860337,398.77955600027633,10859.356254417791,874.1077781426137,11808.573823077017,582.7825981284761,16707.282649104945,746.8729538423128,9055.566352043596,2886.72393569341,12283.879442888609,1799.5391804205829,11537.548754819392,111.35192222335941,,
38,6249,17967.5688436871,213.20351861808257,11348.326883938335,492.0111491672772,10501.714231816231,636.3412417389081,19112.6133636116,1086.3838197998462,9258.030869138336,1444.8026383965616,11605.306905487296,1656.23932401733,12219.177537466809,85.71736110284047,,
39,6304,14750.693759656353,66.04695958329316,8460.844829511534,134.4659753423084,8106.266989282821,50.51327113149557,16399.351972106117,161.25095262124054,6681.340775642328,235.71611172604668,10087.148549765887,134.27461501311086,11047.745525573422,40.02957815224158,,
40,6315,16001.831001422663,229.41376176115529,,,,,,,,,,,,,,
41,6422,13233.73700498448,195.00224308950803,10091.056439773398,432.9897121438778,11232.680442327572,203.89384745916507,15323.117348095042,823.2568750607044,10319.208455317748,648.6767841750227,7237.546490940631,769.9937507121075,10571.53763050856,55.3748767962781,,
42,6649,12918.610911669763,171.544381321417,,,,,,,,,,,,,,
43,6699,11867.30978207421,41.14329907950811,9006.739523199896,99.29077738647007,8705.100065920122,415.1996480784117,16160.074671002569,195.64576386134857,7923.0442212141015,200.8233285685429,9639.790902173989,41.7670966547971,9781.038525916414,19.78589505355652,,
44,6773,16642.308526717676,254.55190411823085,10865.03437527547,2553.9965566240758,11131.766266956893,189.67336385425054,16093.855553248188,76.28667449247166,9085.184145188166,702.1797561060217,9654.890755331407,495.19700697835236,9857.613064646486,204.4316982751649,,
45,6924,14321.861567109252,198.60844311235851,11240.237903340856,1357.9488591158313,12350.292502362288,93.9430291706974,16749.651986596935,376.1552308028831,,,,,,,,
46,6933,14908.437704462951,30.08238729496955,9181.653590004493,47.6945977366409,9982.192001409798,160.71957404534675,17278.74070565295,206.04052561605786,7785.055346501811,312.8308877540413,17328.60559908353,3707.9009433908523,9912.00674236994,27.406320217608773,,
47,6936,12701.285949496503,175.58089548681897,8916.09383413517,240.0281502452908,11150.008367545042,94.6362843199635,14892.37929071761,226.2406134347377,8518.73322535264,197.14082553403907,7818.028630332394,249.31682723316345,9331.459178846186,20.170927145062638,,
48,7143,15162.417498203296,222.97141950792863,9994.343524958873,520.2907591024091,9673.876590852986,746.9547268719887,,,,,,,,,,
49,7147,12624.73395082697,58.86042767403452,9533.140213889257,204.06991096807823,10333.138984271607,318.08141703017293,16887.316249065978,19.96766030379307,3899.608396020949,27.81828909799773,9910.896199758095,1173.4697200723715,9655.122851836757,39.46275437032679,,
50,7473,12323.253610118494,68.26524080880813,8711.698147245721,67.61387635249179,9508.90391016536,90.71561854630987,17829.114069834766,117.89166537701023,8093.85254229024,296.94178973525936,9387.192551926153,140.61867229725092,9735.359104288671,60.32142498540912,,
51,7512,13804.805415834124,306.94076462690447,7598.833449140253,113.11415526654648,8506.600048407896,474.9784858547738,17346.473742644117,613.0084061400378,,,,,,,,
52,7847,18489.49955247179,118.68846623454706,11882.633207884148,122.07612342225664,11330.778893163559,53.86808560823193,19357.87591424046,166.7107068126981,9949.778435790551,402.5594107992625,12569.953596885207,693.378253122527,14082.732198603151,91.6709527559478,,
