,CID,pW1 pEW,pW1 pEW err,pW2 pEW,pW2 pEW err,pW3 pEW,pW3 pEW err,pW4 pEW,pW4 pEW err,pW5 pEW,pW5 pEW err,pW6 pEW,pW6 pEW err,pW7 pEW,pW7 pEW err
75,15171,108.291,10.15,4.067,5.597,69.5,8.576,77.955,7.327,51.276,10.475,21.447,7.748,61.093,4.974
76,15369,145.333,15.635,,,177.638,8.345,200.527,10.94,,,,,,
77,15508,80.683,4.727,,,76.376,6.557,105.365,9.214,71.288,12.806,13.5,4.437,64.986,14.488
78,16021,127.518,7.263,10.748,1.503,80.882,3.938,85.329,7.442,49.802,7.596,45.527,2.481,40.22,2.969
79,16032,73.718,8.042,20.291,6.66,101.915,12.634,191.032,10.284,85.784,7.331,27.088,4.063,,
80,16099,95.502,16.634,3.834,1.471,57.594,4.012,44.388,3.809,27.778,2.654,1.4,1.377,38.403,4.492
81,16100,93.073,7.314,31.173,5.024,106.45,4.616,180.211,4.86,65.525,4.122,20.636,2.951,117.729,3.584
82,16116,73.327,4.768,10.065,1.942,78.474,10.186,89.4,5.949,55.553,3.412,19.287,4.38,,
83,16215,,,10.774,3.763,48.409,11.199,82.544,6.574,54.275,5.041,12.542,4.915,75.964,6.782
84,16259,99.05,6.064,35.266,2.666,110.142,5.225,213.239,6.016,94.97,4.864,38.293,6.585,155.782,7.141
85,16280,23.171,1.149,23.234,4.781,86.404,8.71,106.213,5.479,33.601,2.383,19.543,2.527,81.109,5.584
86,16281,87.18,2.299,5.738,1.304,74.466,3.334,81.267,4.43,21.349,2.881,7.032,1.712,34.216,2.485
87,16287,154.739,2.483,32.782,0.919,112.404,4.439,188.268,10.208,147.141,10.81,58.095,7.61,212.872,8.682
88,16314,94.472,5.285,9.034,1.4,82.606,6.634,113.583,4.904,76.187,4.141,15.666,5.625,62.4,4.696
89,16333,,,,,61.956,4.041,37.742,1.482,,,,,,
90,16350,66.154,3.4,16.75,2.725,71.577,6.789,111.046,6.403,58.624,7.99,49.896,4.495,,
91,16352,80.807,7.056,8.144,1.027,74.878,5.61,104.741,6.396,65.486,6.156,14.984,2.66,73.307,5.896
92,16473,102.553,11.558,3.231,1.27,73.645,1.693,98.156,13.16,55.268,8.624,15.157,5.727,,
93,16482,138.139,7.852,26.811,2.571,97.535,3.6,144.484,8.758,78.528,5.433,42.129,4.998,131.753,3.533
94,16618,108.617,1.254,7.467,0.287,82.967,0.959,119.281,1.95,42.019,1.234,9.556,1.286,62.01,1.959
95,17168,147.83,9.657,12.308,2.096,85.114,9.142,94.172,7.568,,,,,,
96,17186,,,8.462,2.196,94.06,3.151,118.109,5.207,78.299,5.728,20.078,4.706,87.182,6.008
97,17274,114.443,10.184,5.653,1.054,95.368,9.621,97.572,15.263,,,,,,
98,17366,110.767,4.52,7.964,1.153,77.381,7.504,126.871,18.726,89.257,10.722,27.0,8.033,70.849,6.507
99,17745,102.162,4.865,8.432,1.241,75.469,2.447,103.247,1.812,76.695,2.285,4.538,1.424,62.068,1.513
100,17784,,,19.282,3.119,122.438,8.005,199.345,10.152,85.157,10.094,36.513,5.84,116.715,3.286
101,17811,77.67,5.367,12.208,2.765,112.036,9.789,147.517,5.107,81.748,2.865,17.883,4.795,108.815,7.404
102,17825,205.143,9.168,14.773,2.424,120.04,4.388,129.766,7.632,83.654,11.809,18.943,8.439,137.059,8.695
103,17875,107.799,6.593,10.01,2.238,94.069,8.872,114.447,12.106,54.711,6.253,13.583,4.961,,
104,17880,,,20.096,2.82,85.306,1.541,154.886,3.207,85.138,3.977,8.524,0.746,141.998,3.415
105,18323,81.915,2.462,13.976,2.097,79.966,4.164,118.312,4.368,84.156,2.924,19.736,1.944,105.253,7.18
106,18375,60.13,3.172,5.103,2.439,56.423,3.968,79.668,4.312,18.422,2.074,,,,
107,18415,111.535,7.186,23.72,1.178,86.137,2.613,103.039,1.316,79.411,3.268,14.167,1.405,90.181,0.992
108,18650,123.543,2.273,6.058,0.959,93.524,6.407,104.068,12.421,47.448,7.275,14.875,5.345,56.705,6.506
109,18697,77.88,3.762,3.388,2.006,82.665,2.235,70.765,2.22,41.306,2.945,7.724,1.917,39.471,4.182
110,18740,126.467,5.902,24.703,2.324,74.847,6.94,180.087,6.553,109.701,5.576,32.617,10.25,107.461,5.519
111,18804,77.154,8.339,6.771,0.961,81.293,2.91,65.943,8.005,54.102,5.658,17.124,4.597,,
112,18809,119.562,5.066,25.767,2.485,94.172,2.968,74.709,5.76,56.982,10.346,42.412,5.474,139.222,6.356
113,18855,144.761,4.958,14.236,2.214,99.757,5.491,104.674,14.261,80.775,11.419,19.85,3.978,103.348,5.792
114,19027,86.918,2.435,9.725,0.856,73.224,4.455,89.12,3.517,61.672,3.443,17.063,2.39,,
115,19128,117.063,1.685,8.521,0.548,81.627,1.829,121.127,2.134,72.272,2.595,16.353,2.104,105.677,8.664
116,19341,156.584,5.843,18.627,2.399,80.138,9.973,110.043,9.675,77.839,10.78,24.168,8.354,93.293,8.469
117,19381,97.151,3.538,19.724,3.694,99.441,3.7,125.631,6.369,93.973,8.15,25.944,4.872,134.329,8.435
118,19899,84.605,4.034,4.873,0.449,100.137,2.394,90.946,2.278,80.377,2.365,3.92,1.165,62.762,2.425
119,19940,72.814,5.235,1.625,1.31,73.222,1.21,91.274,2.663,51.276,7.579,19.765,3.283,55.829,6.028
120,19968,158.092,2.268,23.282,2.101,80.187,2.731,78.954,4.026,44.008,1.73,12.162,0.425,63.454,1.685
121,19969,123.572,3.654,15.046,1.734,77.03,3.408,77.103,6.484,47.784,3.529,8.034,3.525,63.606,7.168
122,20111,68.752,8.331,23.719,1.387,78.524,2.87,116.076,7.696,58.563,5.575,12.446,2.332,,
123,20350,49.394,2.217,28.491,1.2,123.686,3.518,127.021,15.738,90.786,12.609,69.375,6.465,152.996,8.153
124,20364,112.757,5.573,9.489,1.918,81.853,4.753,,,,,,,,
125,20889,,,17.087,5.326,98.494,8.647,181.102,12.357,67.845,9.935,31.751,4.202,146.121,10.025
126,21006,95.649,7.818,12.44,2.521,90.482,2.81,108.93,3.983,91.277,8.565,11.337,12.005,127.469,11.06
127,21033,127.229,3.248,10.651,1.93,85.853,5.291,,,,,,,,
128,21502,84.576,7.647,14.546,2.755,65.731,3.005,,,37.429,2.518,7.262,0.925,41.066,4.435
