obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,area,area_err,area_samperr,notes
2006hx,2454013.65,pW7,5830.2029,6576.6402,10741.290414081865,0.0,457.6757820700213,53.54200398486733,0.0,14.492405996569175,1.6147499048849478e-14,0.0,4.66989482927197e-15,gaussian really fans out at ends. Set at peak around 6600AA but may possibly end at a lower point around 6300AA. 
2006hx,2454013.65,pW8,7529.5388,8266.4471,25039.217272800084,0.0,199.70416910774082,46.84528588089846,0.0,2.5624811063988235,1.0686523173272377e-14,0.0,6.204561533595324e-16,really shallow feature starting and ending on a shoulder. 
2006kf,2454035.81,pW1,3762.4345,3929.2011,9355.979200754147,0.0,3585.5410931303168,3.9267179432580313,0.0,4.1154565791760405,2.986596752760411e-15,0.0,4.0555462971861356e-15,look at csp to see if they identified this as a feature. 
2006kf,2454035.81,pW2,3929.2011,4095.9677,9949.975064241002,0.0,64.40241729969858,17.970354318720354,0.0,1.9952148728351908,2.2077362624635328e-14,0.0,2.7951252180705186e-15,
2006kf,2454035.81,pW3,4095.9677,4515.8622,11329.538210025814,0.0,54.41034031183934,77.02483060302272,0.0,1.5423200932218843,8.428598980460413e-14,0.0,2.086976366875415e-15,
2006kf,2454035.81,pW4,4515.8622,5108.4792,17382.80656706361,0.0,111.08390896335787,113.09960245242736,0.0,2.8458579062593627,8.864253160591535e-14,0.0,2.748397495404195e-15,
2006kf,2454035.81,pW5,5188.8845,5632.6028,8266.18200640811,0.0,304.2021447306554,77.45755403084951,0.0,4.408259452852304,4.492849400655564e-14,0.0,3.134943316033593e-15,mini dip before this feature not included.
2006kf,2454035.81,pW6,5632.6028,5873.8188,10807.11521510605,0.0,29.59432540974677,27.256616004864988,0.0,1.0931658550433343,1.3777729585008837e-14,0.0,6.23355113076224e-16,extremely clean gaussian
2006kf,2454035.81,pW7,5873.8188,6368.1626,11534.730966134755,0.0,12.759265213969153,105.95684918623199,0.0,1.6285586670243106,5.00596338782131e-14,0.0,9.560199866476785e-16,end of feature in middle of plateau. very clean gaussian. 
2006kf,2454035.81,pW8,7800.5686,8556.9743,12928.414605217695,0.0,206.13693724616505,144.17313177324885,0.0,6.962257840570098,2.992838819335655e-14,0.0,1.7214029085275172e-15,
2006mr,2454048.65,pW3,3907.2996,4474.9226,17927.965477896665,0.0,62.57181586227537,228.6175387364969,0.0,1.6693055550406368,1.2489145372156671e-12,0.0,1.537486706736644e-14,really tight nice gaussian
2006mr,2454048.65,pW4,4614.9021,5339.8414,13341.836158437143,0.0,35.37593322678233,108.2705703016635,0.0,3.536091990378184,4.717038002915212e-13,0.0,1.7896714196561784e-14,feature was placed on a shoulder- I started it on a plateau further to the right. maybe compare with csp. 
2006mr,2454048.65,pW6,5561.3685,5842.6116,10305.541051182394,0.0,9.389800858174533,31.211381016464358,0.0,1.2157632555662634,1.1573530720565396e-13,0.0,5.169348172279286e-15,
2007A,2454106.54,pW1,3601.0225,3933.5925,13946.29203003718,0.0,91.39505779664681,94.99981668977871,0.0,2.291699372612713,3.038824892744993e-13,0.0,1.0216043692045708e-14,
2007A,2454106.54,pW2,3933.5925,4080.2539,9498.64323082062,0.0,163.36353566618584,11.998203592213512,0.0,1.1365556715372749,4.078162310881753e-14,0.0,4.206535814968439e-15,
2007A,2454106.54,pW3,4080.2539,4576.0105,11594.467023812384,0.0,172.52051269150658,97.22640501125387,0.0,3.32903426723109,2.859138994415365e-13,0.0,1.166298108040863e-14,
2007A,2454106.54,pW4,4576.0105,5139.9336,15802.02422099897,0.0,146.94357861189727,100.82312210013123,0.0,2.9620410151884164,2.187940052593708e-13,0.0,7.916443366393112e-15,
2007N,2454129.83,pW4,4593.4952,5275.5023,9553.1434890359,0.0,29.145632858577947,201.17338203840455,0.0,3.7277825600325287,7.821492972557067e-14,0.0,2.0967105691031247e-15,odd few features. possibly a late time spectrum? Gaussian for this feature doesn't fit very well. 
2007N,2454129.83,pW5,5275.5023,5650.1258,2527.0801169577053,0.0,967.2319588704687,8.438938327170467,0.0,1.9251936173729287,3.1175751622214277e-15,0.0,9.240789286869028e-16,two distinct gaussians. feature doesn't look right. see comment on pW4. 
2007N,2454129.83,pW6,5650.1258,5923.8892,7332.469844048582,0.0,37.514075724951184,23.926271316366662,0.0,1.1107462958780256,1.2142492540706482e-14,0.0,6.271422711693745e-16,
2007N,2454129.83,pW7,5923.8892,6496.6309999999985,8117.463769129456,0.0,14.731462918709054,125.46795154552288,0.0,0.9616729575902342,6.04072888589994e-14,0.0,5.983231242500158e-16,
2007N,2454129.83,pW8,7789.8028,8582.2758,12517.641304848246,0.0,5.537988999727441,360.8130126933046,0.0,0.617611566100674,1.2612673059871484e-13,0.0,3.9495290960179964e-16,
2007S,2454131.82,pW1,3552.1983,3948.2034,19007.679665880973,0.0,161.15673489165522,52.93184587158302,0.0,4.896360125439765,4.670845493004532e-14,0.0,5.422279179740488e-15,
2007S,2454131.82,pW2,3948.2034,4002.1099,,0.0,,0.4439075879958688,0.0,0.8198430917750987,5.461016191872999e-16,0.0,9.70321052501515e-16,
2007S,2454131.82,pW3,4002.1099,4537.0278,15909.633271064731,0.0,868.9691341390089,94.9555949659318,0.0,4.862662823852208,1.0449251036768833e-13,0.0,6.671331717610013e-15,two distinct gaussians.
2007S,2454131.82,pW4,4537.0278,5109.2655,15699.368429719807,0.0,46.4271897240114,117.19764234763448,0.0,3.1125050901589395,1.1630010516223816e-13,0.0,4.007235189917668e-15,note that the feature may have been cut off as the spectrum ends within the rightmost boundary. 
2007af,2454163.82,pW1,3521.3009,3926.8926,18054.986854555358,0.0,47.55705920665876,155.98585165328663,0.0,2.3078946062606014,1.4820974920524663e-12,0.0,3.6671152852420335e-14,
2007af,2454163.82,pW2,3926.8926,4075.3309,10115.737233725236,0.0,40.757622149422396,14.23367451922699,0.0,0.5722517532332547,1.6515423659269422e-13,0.0,7.450309616572975e-15,
2007af,2454163.82,pW3,4075.3309,4508.1014,11386.560945980978,0.0,57.71875899423117,87.56657735655943,0.0,1.3383742810922177,8.303116236767957e-13,0.0,1.562816604028164e-14,
2007af,2454163.82,pW4,4508.1014,5185.4814,17942.924942909824,0.0,105.46558510949362,163.86578669671312,0.0,3.288252407259668,1.1932807118088138e-12,0.0,3.25389613472802e-14,very clean spectrum. 
